datetime,2020-05_lgh1_CO2_livingroom,2020-05_lgh1_light_livingroom,2020-05_lgh1_rh_livingroom,2020-05_lgh1_temp_livingroom,2020-05_lgh1_temp_outdoor,occupancy
2020-05-19 16:00:00,596.8533426920571,46.0,30.333333333333332,24.7399997711182,,
2020-05-19 16:30:00,531.5733337402344,26.0,29.4,24.6399993896484,,
2020-05-19 17:00:00,481.9200032552083,16.0,,24.4700002670288,7.92000007629395,0.0
2020-05-19 17:30:00,456.959991455078,0.0,28.5,24.186666488647464,,1.0
2020-05-19 18:00:00,,,28.4,,7.42000007629395,0.0
2020-05-19 18:30:00,450.87999471028667,,28.5,24.1800003051758,6.67000007629395,
2020-05-19 19:00:00,455.1466674804687,,28.5,,,
2020-05-19 19:30:00,528.3520050048827,,28.6,24.0799999237061,,1.0
2020-05-19 20:00:00,618.133321126302,,,,,
2020-05-19 20:30:00,634.399993896484,,,24.1800003051758,,
2020-05-19 21:00:00,619.5999908447266,,30.0,,5.92000007629395,
2020-05-19 21:30:00,602.880004882812,,29.454545454545453,,5.40999984741211,
2020-05-19 22:00:00,607.8399963378905,,30.0,,,
2020-05-19 22:30:00,,,,,4.640000104904175,1.0
2020-05-19 23:00:00,595.5999908447266,,29.0,,3.85999989509583,
2020-05-19 23:30:00,594.3999938964845,,29.5,,4.120000004768375,
2020-05-20 00:00:00,589.760009765625,,29.5,,,1.0
2020-05-20 00:30:00,594.3999938964845,,,,3.33999991416931,
2020-05-20 01:00:00,574.719970703125,,,24.0799999237061,,
2020-05-20 01:30:00,584.960021972656,,28.428571428571427,,,1.0
2020-05-20 02:00:00,582.5066528320314,,,,3.85999989509583,
2020-05-20 02:30:00,592.0,,,,,
2020-05-20 03:00:00,583.9200134277343,,,,4.640000104904175,
2020-05-20 03:30:00,589.0399780273438,,27.5,,5.40999984741211,
2020-05-20 04:00:00,571.8399963378905,,27.428571428571427,23.9799995422363,5.92000007629395,
2020-05-20 04:30:00,572.0800018310545,26.0,27.5,23.8799991607666,6.67000007629395,
